辽宁,Province
吉林,Province
黑龙江,Province
河北,Province
山西,Province
陕西,Province
甘肃,Province
青海,Province
山东,Province
安徽,Province
江苏,Province
浙江,Province
河南,Province
湖北,Province
湖南,Province
江西,Province
台湾,Province
福建,Province
云南,Province
海南,Province
四川,Province
贵州,Province
广东,Province
内蒙古,Province
内蒙,Province
新疆,Province
广西,Province
西藏,Province
宁夏,Province
阿巴嘎,Location,
阿坝,Location,
阿城,Location,
阿尔山,Location,
阿合奇,Location,
阿克塞,Location,
阿克苏,Location,
阿克陶,Location,
阿拉尔,Location,
阿拉山口,Location,
阿勒泰,Location,
阿里,Location,
阿鲁旗,Location,
阿荣旗,Location,
阿图什,Location,
阿瓦提,Location,
阿右旗,Location,
阿左旗,Location,
安达,Location,
安定,Location,
安多,Location,
安福,Location,
安国,Location,
安化,Location,
安吉,Location,
安康,Location,
安龙,Location,
安陆,Location,
安宁,Location,
安平,Location,
安庆,Location,
安丘,Location,
安仁,Location,
安塞,Location,
安顺,Location,
安图,Location,
安溪,Location,
安县,Location,
安乡,Location,
安新,Location,
安阳,Location,
安义,Location,
安源,Location,
安远,Location,
安岳,Location,
安泽,Location,
鞍山,Location,
昂仁,Location,
敖汉,Location,
八里罕,Location,
八宿,Location,
巴楚,Location,
巴东,Location,
巴里坤,Location,
巴林右旗,Location,
巴林左旗,Location,
巴仑台,Location,
巴马,Location,
巴南,Location,
巴青,Location,
巴塘,Location,
巴雅尔吐胡硕,Location,
巴彦,Location,
巴彦淖尔,Location,
巴音布鲁克,Location,
巴中,Location,
霸州,Location,
白城,Location,
白河,Location,
白碱滩,Location,
白朗,Location,
白沙,Location,
白山,Location,
白水,Location,
白杨沟,Location,
白银,Location,
白玉,Location,
白云,Location,
白云鄂博,Location,
百色,Location,
柏乡,Location,
拜城,Location,
拜泉,Location,
班戈,Location,
班玛,Location,
板桥,Location,
蚌埠,Location,
包头,Location,
宝坻,Location,
宝丰,Location,
宝国吐,Location,
宝鸡,Location,
宝清,Location,
宝山,Location,
宝兴,Location,
宝应,Location,
保德,Location,
保定,Location,
保靖,Location,
保康,Location,
保山,Location,
保亭,Location,
北安,Location,
北碚,Location,
北辰,Location,
北川,Location,
北戴河,Location,
北海,Location,
北京,Location,
北流,Location,
北仑,Location,
北票,Location,
北镇,Location,
本溪,Location,
本溪县,Location,
比如,Location,
毕节,Location,
璧山,Location,
边坝,Location,
宾川,Location,
宾县,Location,
宾阳,Location,
彬县,Location,
滨海,Location,
滨州,Location,
波密,Location,
泊头,Location,
勃利,Location,
亳州,Location,
博爱,Location,
博白,Location,
博湖,Location,
博克图,Location,
博乐,Location,
博罗,Location,
博山,Location,
博兴,Location,
博野,Location,
布尔津,Location,
布拖,Location,
蔡甸,Location,
蔡家湖,Location,
苍南,Location,
苍梧,Location,
苍溪,Location,
沧县,Location,
沧源,Location,
沧州,Location,
曹妃甸,Location,
曹县,Location,
册亨,Location,
策勒,Location,
岑巩,Location,
岑溪,Location,
茶陵,Location,
察布查尔,Location,
察雅,Location,
察右后旗,Location,
察右前旗,Location,
察右中旗,Location,
察隅,Location,
昌都,Location,
昌吉,Location,
昌江,Location,
昌乐,Location,
昌黎,Location,
昌宁,Location,
昌平,Location,
昌图,Location,
昌邑,Location,
常德,Location,
常宁,Location,
